Mes,A�o,Estado Origen,Estado Destino,Ciudad Origen,Ciudad Destino,Compa�ia Transportadora,Tipo de Transporte,Tipo de combustible usado,Tipo de Movimiento,Costo(Pesos),Carga Maxima(TON),Rendimiento por litro,Costo del diesel,Tiempo en Transito
Septiembre,2015,QO,TM,QUERETARO,NUEVO LAREDO,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,15459.84,22,2.65,12.24,16
Septiembre,2015,SP,AG,SAN LUIS POTOSI,AGUASCALIENTES,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,3739.2,22,2.65,12.24,3
Septiembre,2015,SP,CO,SAN LUIS POTOSI,RAMOS ARIZPE,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,8870.72,22,2.65,12.24,8
Septiembre,2015,SP,EM,SAN LUIS POTOSI,TOLUCA,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,7356.8,22,2.65,12.24,7
Septiembre,2015,SP,EM,SAN LUIS POTOSI,TOLUCA,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,7387.2,22,2.65,12.24,7
Septiembre,2015,SP,EM,SAN LUIS POTOSI,TOLUCA,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,7450,22,2.65,12.24,7
Septiembre,2015,SP,JC,SAN LUIS POTOSI,GUADALAJARA,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,7031.52,22,2.65,12.24,9
Septiembre,2015,SP,MS,SAN LUIS POTOSI,CUAUTLA,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,9393.6,22,2.65,12.24,9
Septiembre,2015,SP,NL,SAN LUIS POTOSI,MONTERREY,CARRIER 2,48FT/53FT,Diesel ,Sencillo,10506.24,22,2.65,12.24,9
Septiembre,2015,SP,PL,SAN LUIS POTOSI,PUEBLA,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,10123.2,22,2.65,12.24,9
Septiembre,2015,SP,PL,SAN LUIS POTOSI,PUEBLA,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,10743.36,22,2.65,12.24,9
Septiembre,2015,SP,QO,SAN LUIS POTOSI,QUERETARO,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,3629.76,22,2.65,12.24,4
Septiembre,2015,SP,TM,SAN LUIS POTOSI,NUEVO LAREDO,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,11607584,22,2.65,12.24,16
Septiembre,2015,SP,SP,SAN LUIS POTOSI,SAN LUIS POTOSI,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,2352,22,2.65,12.24,1
Septiembre,2015,SP,TM,SAN LUIS POTOSI,NUEVO LAREDO,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,11707.5333333333,22,2.65,12.24,16
Septiembre,2015,SR,SR,HERMOSILLO,NOGALES,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,5168.8,22,2.65,12.24,5
Septiembre,2015,CH,CH,CIUDAD JUAREZ,CIUDAD JUAREZ,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,2500,22,2.65,12.24,1
Septiembre,2015,CH,CH,CIUDAD JUAREZ,DELICIAS,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,6400,22,2.65,12.24,7
Septiembre,2015,TM,CO,NUEVO LAREDO,RAMOS ARIZPE,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,6080,22,2.65,12.24,6
Septiembre,2015,TM,GT,NUEVO LAREDO,CELAYA,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,15257.6,22,2.65,12.24,18
Septiembre,2015,TM,GT,NUEVO LAREDO,SILAO,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,15283.2,22,2.65,12.24,18
Septiembre,2015,TM,JC,NUEVO LAREDO,GUADALAJARA,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,19306.88,22,2.65,12.24,18
Septiembre,2015,TM,JC,NUEVO LAREDO,GUADALAJARA,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,19681.2,22,2.65,12.24,18
Septiembre,2015,TM,MS,NUEVO LAREDO,CUAUTLA,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,21672,22,2.65,12.24,22
Septiembre,2015,TM,NL,NUEVO LAREDO,MONTERREY,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,4239.2,22,2.65,12.24,4
Septiembre,2015,TM,PL,NUEVO LAREDO,PUEBLA,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,23311.8666666667,22,2.65,12.24,20
Septiembre,2015,TM,PL,NUEVO LAREDO,PUEBLA,CARRIER 1,48FT/53FT,Diesel ,Sencillo,22604.4,22,2.65,12.24,22
Septiembre,2015,TM,PL,NUEVO LAREDO,PUEBLA,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,22333.5,22,2.65,12.24,22
Septiembre,2015,TM,QO,NUEVO LAREDO,QUERETARO,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,18566.8,22,2.65,12.24,16
Septiembre,2015,TM,SP,NUEVO LAREDO,SAN LUIS POTOSI,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,11589.8754098361,22,2.65,12.24,15
Septiembre,2015,TM,SP,NUEVO LAREDO,SAN LUIS POTOSI,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,18304.0666666667,22,2.65,12.24,15
Septiembre,2015,TM,ZS,NUEVO LAREDO,ZACATECAS,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,21340.9777777778,22,2.65,12.24,11
Septiembre,2015,ZS,TM,ZACATECAS,NUEVO LAREDO,CARRIER 1,48FT/53FT,Diesel ,Sencillo,12548.7659574468,22,2.65,12.24,11
Septiembre,2015,AG,SP,AGUASCALIENTES,SAN LUIS POTOSI,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,6169.68,22,2.65,12.24,4
Septiembre,2015,CH,CH,CHIHUAHUA,CIUDAD JUAREZ,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,12202.8032,22,2.65,12.24,6
Septiembre,2015,CH,CH,CIUDAD JUAREZ,CIUDAD JUAREZ,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,2500,22,2.65,12.24,1
Septiembre,2015,CH,CH,DELICIAS,CIUDAD JUAREZ,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,12530.0650666667,22,2.65,12.24,7
Septiembre,2015,CO,SP,RAMOS ARIZPE,VILLA DE REYES,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,14596.56,22,2.65,12.24,8
Septiembre,2015,CO,TM,RAMOS ARIZPE,NUEVO LAREDO,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,10379.5774693878,22,2.65,12.24,6
Septiembre,2015,EM,SP,TOLUCA,SAN LUIS POTOSI,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,12138.72,22,2.65,12.24,5
